base_probe_id,symbol,method,date_range,repeat_hash_match,rep1_http_status,rep2_http_status,rep1_primary_session_bars,rep2_primary_session_bars,rep1_hash,rep2_hash,rep1_threshold,rep2_threshold,rep1_page_count,rep2_page_count,rep1_pagination_complete,rep2_pagination_complete,rep1_repeated_page_token,rep2_repeated_page_token,rep1_pagination_cycle_detected,rep2_pagination_cycle_detected
window-2023-08-AAPL-sip,AAPL,sip,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,1794,1794,9c419965116dc8e515e978637a3eb726f0e0cb9ea58ed4910a2fd993af891361,9c419965116dc8e515e978637a3eb726f0e0cb9ea58ed4910a2fd993af891361,passed,passed,2,2,True,True,False,False,False,False
window-2023-08-AAPL-iex,AAPL,iex,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,1794,1794,56d09e4fd2d48619e76bd67bd9c6ff95b714bf2992a47b2ae04f6597a0831809,56d09e4fd2d48619e76bd67bd9c6ff95b714bf2992a47b2ae04f6597a0831809,passed,passed,1,1,True,True,False,False,False,False
window-2023-08-JPM-sip,JPM,sip,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,1794,1794,33347599f1d778bb0b663ca8591e13acee9d2966643fc96443f6fcafcba4b393,33347599f1d778bb0b663ca8591e13acee9d2966643fc96443f6fcafcba4b393,passed,passed,1,1,True,True,False,False,False,False
window-2023-08-JPM-iex,JPM,iex,2023-08-01T00:00:00.000000-0400 to 2023-08-31T23:59:59.999999-0400,True,200,200,1746,1746,45979221ffef7a37f949cc6fb1204cc1e1bf538f8601d11b871815700c9b5d16,45979221ffef7a37f949cc6fb1204cc1e1bf538f8601d11b871815700c9b5d16,passed,passed,1,1,True,True,False,False,False,False
window-2024-06-SPY-sip,SPY,sip,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,1482,1482,26790ac27d07469dedda704ca10d19201674962e3d7c2a9c005b00d4515fc4b1,26790ac27d07469dedda704ca10d19201674962e3d7c2a9c005b00d4515fc4b1,passed,passed,2,2,True,True,False,False,False,False
window-2024-06-SPY-iex,SPY,iex,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,1481,1481,e086676ee0be43cb7db4508bf68e87ce1e46fc971c96c70838e35d67f886f8cc,e086676ee0be43cb7db4508bf68e87ce1e46fc971c96c70838e35d67f886f8cc,passed,passed,1,1,True,True,False,False,False,False
window-2024-06-AAPL-sip,AAPL,sip,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,1482,1482,b7181cbf327971d7a78d31a380641535e202ddac2b2e9cfac54fa0678884877d,b7181cbf327971d7a78d31a380641535e202ddac2b2e9cfac54fa0678884877d,passed,passed,2,2,True,True,False,False,False,False
window-2024-06-AAPL-iex,AAPL,iex,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,1482,1482,0896a01d62783bd3b33c90d7a316600bbbc718ab1a93633e1553a21194cffaae,0896a01d62783bd3b33c90d7a316600bbbc718ab1a93633e1553a21194cffaae,passed,passed,1,1,True,True,False,False,False,False
window-2024-06-JPM-sip,JPM,sip,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,1482,1482,8445c484e6c04d455841cb16a4919d1095e3a00ef66b16c60c580e214505dd1f,8445c484e6c04d455841cb16a4919d1095e3a00ef66b16c60c580e214505dd1f,passed,passed,1,1,True,True,False,False,False,False
window-2024-06-JPM-iex,JPM,iex,2024-06-03T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,1419,1419,0b9f973d968d9d2a96c0c972ab07239077621be9808fc1885e368da3b799ca31,0b9f973d968d9d2a96c0c972ab07239077621be9808fc1885e368da3b799ca31,passed,passed,1,1,True,True,False,False,False,False
window-2025-12-SPY-sip,SPY,sip,2025-12-01T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,1638,1638,bad02a6c83262190b953806453dfeea6b910389566cdca1e5c2b8bae626408cd,bad02a6c83262190b953806453dfeea6b910389566cdca1e5c2b8bae626408cd,passed,passed,2,2,True,True,False,False,False,False
window-2025-12-SPY-iex,SPY,iex,2025-12-01T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,1638,1638,6544e4776acd973ed8e0b0cef109f30c8398ecc78308e2c989efc85000277b7e,6544e4776acd973ed8e0b0cef109f30c8398ecc78308e2c989efc85000277b7e,passed,passed,1,1,True,True,False,False,False,False
window-2025-12-AAPL-sip,AAPL,sip,2025-12-01T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,1638,1638,7cb028f015d41d6a80d465738d6e0a31b5e01dedda0b572a7d8a47ff0b09a010,7cb028f015d41d6a80d465738d6e0a31b5e01dedda0b572a7d8a47ff0b09a010,passed,passed,2,2,True,True,False,False,False,False
window-2025-12-AAPL-iex,AAPL,iex,2025-12-01T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,1638,1638,ea73fb40db69c128067d5b47b4564d37a38d0300fcbcb4a19224d015312e3865,ea73fb40db69c128067d5b47b4564d37a38d0300fcbcb4a19224d015312e3865,passed,passed,1,1,True,True,False,False,False,False
window-2025-12-JPM-sip,JPM,sip,2025-12-01T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,1638,1638,5631d686c29eb9a877eaf8c164863158275f4efcd5de7b81ee00631113c82e1d,5631d686c29eb9a877eaf8c164863158275f4efcd5de7b81ee00631113c82e1d,passed,passed,2,2,True,True,False,False,False,False
window-2025-12-JPM-iex,JPM,iex,2025-12-01T00:00:00.000000-0500 to 2025-12-31T23:59:59.999999-0500,True,200,200,1636,1636,c94e1d4ab56cebe6e21c3a034d182d9ffc02ff0f75d503bb90c2fe56ea54837c,c94e1d4ab56cebe6e21c3a034d182d9ffc02ff0f75d503bb90c2fe56ea54837c,passed,passed,1,1,True,True,False,False,False,False
overlap-left-SPY-sip,SPY,sip,2024-06-03T00:00:00.000000-0400 to 2024-06-14T23:59:59.999999-0400,True,200,200,780,780,cf7deecf81c996b2b5d918c615d50447236ca0dc1bf22c1d5e038fb3511a45da,cf7deecf81c996b2b5d918c615d50447236ca0dc1bf22c1d5e038fb3511a45da,passed,passed,1,1,True,True,False,False,False,False
overlap-left-SPY-iex,SPY,iex,2024-06-03T00:00:00.000000-0400 to 2024-06-14T23:59:59.999999-0400,True,200,200,779,779,917dbca1b1e1552feee94022f54f44c2ef74c489ff1af08e9e4ddc4fab50d0a2,917dbca1b1e1552feee94022f54f44c2ef74c489ff1af08e9e4ddc4fab50d0a2,passed,passed,1,1,True,True,False,False,False,False
overlap-right-SPY-sip,SPY,sip,2024-06-10T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,1092,1092,683bfa975143343348165579e178f235af2b1c3f31b9fe4d77169200382cbe33,683bfa975143343348165579e178f235af2b1c3f31b9fe4d77169200382cbe33,passed,passed,2,2,True,True,False,False,False,False
overlap-right-SPY-iex,SPY,iex,2024-06-10T00:00:00.000000-0400 to 2024-06-28T23:59:59.999999-0400,True,200,200,1091,1091,8140907e32b391ac6caa32e7c52dc5cd7af66668996d46ab8110502901dc7fb8,8140907e32b391ac6caa32e7c52dc5cd7af66668996d46ab8110502901dc7fb8,passed,passed,1,1,True,True,False,False,False,False
