ticker,session_date,strategy,signal_time,signal_bar_start,entry_time,entry_bar_start,entry_open,entry_fill,stop_price,target_price,risk_per_share,exit_time,exit_bar_start,raw_exit_price,exit_fill,profit,net_r,exit_type,holding_minutes,opening_gap_pct,fallback_reason,same_bar_ambiguity,entry_bar_index,exit_bar_index,status,rejection_reason
GOOG,2025-01-27,candidate,2025-01-27T15:25:00+00:00,2025-01-27T15:20:00+00:00,2025-01-27T15:25:00+00:00,2025-01-27T15:25:00+00:00,196.2,196.29809999999998,195.45188000000002,197.56742999999992,0.8462199999999598,2025-01-27T15:35:00+00:00,2025-01-27T15:30:00+00:00,197.56742999999992,197.46864628499992,1.1705462849999435,1.3832647361206296,target,10.0,0.019428691451375702,,False,11,12,executed,
GOOGL,2025-01-27,candidate,2025-01-27T15:25:00+00:00,2025-01-27T15:20:00+00:00,2025-01-27T15:25:00+00:00,2025-01-27T15:25:00+00:00,194.33,194.427165,193.602825,195.663675,0.8243400000000065,2025-01-27T15:35:00+00:00,2025-01-27T15:30:00+00:00,195.663675,195.56584316250002,1.138678162500014,1.3813210113545442,target,10.0,0.016587427363972458,,False,11,12,executed,
HD,2025-01-27,candidate,2025-01-27T15:55:00+00:00,2025-01-27T15:50:00+00:00,2025-01-27T15:55:00+00:00,2025-01-27T15:55:00+00:00,418.36,418.56918,417.4608,420.23175000000003,1.108380000000011,2025-01-27T17:00:00+00:00,2025-01-27T16:55:00+00:00,420.23175000000003,420.02163412500005,1.4524541250000311,1.310429748822621,target,65.0,0.0666083961027275,,False,17,29,executed,
JNJ,2025-01-10,candidate,2025-01-10T15:45:00+00:00,2025-01-10T15:40:00+00:00,2025-01-10T15:45:00+00:00,2025-01-10T15:45:00+00:00,142.625,142.6963125,142.14869,143.51774625000002,0.547622500000017,2025-01-10T16:00:00+00:00,2025-01-10T15:55:00+00:00,143.51774625000002,143.44598737687502,0.7496748768750194,1.3689628838752903,target,15.0,-0.025031116028211897,,False,15,17,executed,
JNJ,2025-01-23,candidate,2025-01-23T15:10:00+00:00,2025-01-23T15:05:00+00:00,2025-01-23T15:10:00+00:00,2025-01-23T15:10:00+00:00,146.63,146.70331499999998,146.10219,147.60500249999993,0.6011249999999677,2025-01-23T15:50:00+00:00,2025-01-23T15:45:00+00:00,147.60500249999993,147.53119999874994,0.8278849987499655,1.3772260324391932,target,40.0,0.005670031807495458,,False,8,15,executed,
JPM,2025-01-13,candidate,2025-01-13T15:50:00+00:00,2025-01-13T15:45:00+00:00,2025-01-13T15:50:00+00:00,2025-01-13T15:50:00+00:00,242.74,242.86137,242.368635,243.60047249999997,0.49273499999998194,2025-01-13T16:55:00+00:00,2025-01-13T16:50:00+00:00,242.368635,242.24745068250002,-0.6139193174999775,-1.2459421747998418,stop,65.0,-0.0001668682991949458,,False,16,28,executed,
JPM,2025-01-14,candidate,2025-01-14T16:10:00+00:00,2025-01-14T16:05:00+00:00,2025-01-14T16:10:00+00:00,2025-01-14T16:10:00+00:00,245.06,245.18252999999999,244.60746999999998,246.04512,0.5750600000000077,2025-01-14T16:15:00+00:00,2025-01-14T16:10:00+00:00,244.60746999999998,244.485166265,-0.6973637349999819,-1.2126799551350687,stop,5.0,0.01230653706562091,,False,20,20,executed,
JPM,2025-01-16,candidate,2025-01-16T15:20:00+00:00,2025-01-16T15:15:00+00:00,2025-01-16T15:20:00+00:00,2025-01-16T15:20:00+00:00,256.3,256.42815,255.431835,257.92262250000005,0.9963150000000098,2025-01-16T15:35:00+00:00,2025-01-16T15:30:00+00:00,255.431835,255.30411908250002,-1.1240309174999936,-1.1281882913536205,stop,15.0,0.05961369988736386,,False,10,12,executed,
MA,2025-01-30,candidate,2025-01-30T15:25:00+00:00,2025-01-30T15:20:00+00:00,2025-01-30T15:25:00+00:00,2025-01-30T15:25:00+00:00,568.83,569.114415,566.4255850000001,573.1476599999999,2.688829999999939,2025-01-30T15:35:00+00:00,2025-01-30T15:30:00+00:00,566.4255850000001,566.1423722075001,-2.9720427924999058,-1.105329378391335,stop,10.0,0.053990922384488195,,False,11,12,executed,
META,2025-01-30,candidate,2025-01-30T15:25:00+00:00,2025-01-30T15:20:00+00:00,2025-01-30T15:25:00+00:00,2025-01-30T15:25:00+00:00,705.315,705.6676575,698.64732375,716.198158125,7.020333749999963,2025-01-30T15:45:00+00:00,2025-01-30T15:40:00+00:00,698.64732375,698.2980000881251,-7.369657411874869,-1.0497588397239528,stop,20.0,0.19072261788867817,,False,11,14,executed,
META,2025-01-31,candidate,2025-01-31T15:15:00+00:00,2025-01-31T15:10:00+00:00,2025-01-31T15:15:00+00:00,2025-01-31T15:15:00+00:00,699.265,699.6146325,696.18029,704.7661462499999,3.434342499999957,2025-01-31T18:20:00+00:00,2025-01-31T18:15:00+00:00,696.18029,695.832199855,-3.7824326449999717,-1.1013556874423618,stop,185.0,0.1827637444279346,,False,9,45,executed,
MSFT,2025-01-27,candidate,2025-01-27T15:10:00+00:00,2025-01-27T15:05:00+00:00,2025-01-27T15:10:00+00:00,2025-01-27T15:10:00+00:00,428.64,428.85432,426.485637,432.4073444999999,2.368682999999976,2025-01-27T15:40:00+00:00,2025-01-27T15:35:00+00:00,432.4073444999999,432.1911408277499,3.336820827749932,1.4087241001645074,target,30.0,0.005931198102016607,,False,8,13,executed,
MSTR,2025-01-17,candidate,2025-01-17T15:25:00+00:00,2025-01-17T15:20:00+00:00,2025-01-17T15:25:00+00:00,2025-01-17T15:25:00+00:00,390.0,390.195,386.805,395.28,3.3899999999999864,2025-01-17T15:30:00+00:00,2025-01-17T15:25:00+00:00,386.805,386.6115975,-3.583402499999977,-1.0570508849557496,stop,5.0,0.32411435674331884,,False,11,11,executed,
MU,2025-01-07,candidate,2025-01-07T15:25:00+00:00,2025-01-07T15:20:00+00:00,2025-01-07T15:25:00+00:00,2025-01-07T15:25:00+00:00,104.69,104.74234499999999,103.41206,106.73777249999998,1.3302849999999893,2025-01-07T15:40:00+00:00,2025-01-07T15:35:00+00:00,103.41206,103.36035397,-1.3819910299999805,-1.038868385345991,stop,15.0,0.2287309885931559,,False,11,13,executed,
NVDA,2025-01-03,candidate,2025-01-03T16:15:00+00:00,2025-01-03T16:10:00+00:00,2025-01-03T16:15:00+00:00,2025-01-03T16:15:00+00:00,142.97,143.041485,142.68141250000002,143.58159374999997,0.3600724999999727,2025-01-03T16:40:00+00:00,2025-01-03T16:35:00+00:00,143.58159374999997,143.509802953125,0.4683179531249948,1.3006212724521597,target,25.0,0.04251991957703484,,False,21,25,executed,
