ticker,session_date,candidate_status,candidate_reason,candidate_opening_drive_qualified,baseline_a_status,baseline_a_score,baseline_b_status
AAPL,2025-01-02,no_signal,no_reclaim_bar_found,False,executed,65.0,no_signal
AAPL,2025-01-03,no_signal,no_reclaim_bar_found,False,executed,50.0,executed
AAPL,2025-01-06,no_signal,no_reclaim_bar_found,False,executed,40.0,executed
AAPL,2025-01-07,no_signal,no_reclaim_bar_found,False,executed,50.0,executed
AAPL,2025-01-08,no_signal,no_reclaim_bar_found,False,executed,40.0,no_signal
AAPL,2025-01-10,no_signal,no_reclaim_bar_found,False,executed,65.0,no_signal
AAPL,2025-01-13,no_signal,no_reclaim_bar_found,False,executed,65.0,no_signal
AAPL,2025-01-14,no_signal,no_reclaim_bar_found,False,executed,40.0,executed
AAPL,2025-01-15,no_signal,no_reclaim_bar_found,False,executed,40.0,no_signal
AAPL,2025-01-16,no_signal,no_reclaim_bar_found,False,executed,65.0,no_signal
AAPL,2025-01-17,no_signal,no_reclaim_bar_found,False,executed,40.0,no_signal
AAPL,2025-01-21,no_signal,no_reclaim_bar_found,False,executed,65.0,no_signal
AAPL,2025-01-22,executed,,True,executed,40.0,executed
AAPL,2025-01-23,no_signal,no_reclaim_bar_found,False,executed,40.0,executed
AAPL,2025-01-24,no_signal,no_reclaim_bar_found,False,executed,40.0,no_signal
AAPL,2025-01-27,no_signal,no_reclaim_bar_found,False,executed,40.0,executed
AAPL,2025-01-28,no_signal,no_reclaim_bar_found,True,executed,40.0,no_signal
AAPL,2025-01-29,no_signal,no_reclaim_bar_found,False,executed,50.0,no_signal
AAPL,2025-01-30,no_signal,no_reclaim_bar_found,False,executed,45.0,no_signal
AAPL,2025-01-31,no_signal,no_reclaim_bar_found,False,executed,40.0,no_signal
AAPL,2025-02-03,no_signal,no_reclaim_bar_found,False,executed,65.0,no_signal
AAPL,2025-02-04,no_signal,no_reclaim_bar_found,False,executed,50.0,no_signal
AAPL,2025-02-05,no_signal,no_reclaim_bar_found,False,executed,65.0,executed
AAPL,2025-02-06,no_signal,no_reclaim_bar_found,False,no_signal,,executed
AAPL,2025-02-07,no_signal,no_reclaim_bar_found,False,executed,45.0,no_signal
AAPL,2025-02-10,no_signal,no_reclaim_bar_found,False,executed,40.0,executed
AAPL,2025-02-11,no_signal,no_reclaim_bar_found,False,executed,40.0,executed
AAPL,2025-02-12,no_signal,no_reclaim_bar_found,False,executed,40.0,executed
AAPL,2025-02-13,no_signal,no_reclaim_bar_found,False,executed,50.0,executed
AAPL,2025-02-14,no_signal,no_reclaim_bar_found,False,executed,40.0,executed
AAPL,2025-02-18,no_signal,no_reclaim_bar_found,False,executed,50.0,executed
AAPL,2025-02-19,no_signal,no_reclaim_bar_found,False,executed,50.0,no_signal
AAPL,2025-02-20,no_signal,no_reclaim_bar_found,False,executed,50.0,executed
